#filename	ss	so	sx	s-	os	oo	ox	o-	xs	xo	xx	x-	-s	-o	-x	--
maz-00001	0.017094	0	0	0.076923	0.008547	0	0	0.008547	0	0	0	0	0.059829	0.017094	0	0.811966
maz-00002	0	0	0	0.045455	0	0	0	0	0	0	0	0	0.05303	0	0	0.901515
maz-10110	0	0	0	0.03125	0	0	0	0.0125	0	0	0	0.00625	0.04375	0.0125	0.00625	0.8875
maz-10175	0	0	0	0.028807	0	0	0	0.012346	0	0	0	0.024691	0.032922	0.016461	0.024691	0.860082
maz-10205	0	0	0.002632	0.036842	0	0	0	0.010526	0	0	0	0.005263	0.042105	0.010526	0.002632	0.889474
maz-10207	0.005882	0	0.005882	0.023529	0	0	0	0	0	0	0	0.023529	0.035294	0.005882	0.035294	0.864706
maz-10374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0
maz-10423	0.003846	0	0	0.026923	0	0.003846	0	0.003846	0	0	0	0.003846	0.034615	0.007692	0.003846	0.911538
maz-10503	0.01	0.01	0	0.035	0.005	0	0	0.015	0	0	0	0	0.045	0.01	0	0.87
maz-10575	0	0	0	0.034632	0	0	0	0.017316	0	0	0	0	0.034632	0.021645	0	0.891775
maz-10652	0	0	0	0.045455	0.004545	0	0	0.018182	0	0	0	0.013636	0.045455	0.022727	0.013636	0.836364
maz-10902	0	0	0	0.011111	0	0	0	0.011111	0	0	0	0	0.033333	0.016667	0	0.927778
maz-11177	0	0	0	0.026756	0	0	0	0.010033	0.003344	0	0	0.006689	0.023411	0.010033	0.010033	0.909699
maz-11279	0.003846	0.003846	0	0.019231	0	0	0	0.015385	0.003846	0	0	0.003846	0.026923	0.015385	0.007692	0.9
maz-11280	0	0	0	0.021368	0	0	0	0.012821	0	0	0	0.004274	0.034188	0.017094	0.008547	0.901709
maz-11299	0	0	0	0.022222	0.002222	0	0	0.002222	0	0	0	0	0.02	0.006667	0	0.946667
maz-11318	0	0	0	0.033333	0	0	0.005556	0.016667	0	0	0	0.005556	0.038889	0.022222	0	0.877778
maz-11507	0	0	0	0.0375	0	0	0	0.00625	0	0	0	0	0.0375	0.00625	0	0.9125
maz-11544	0.003953	0	0	0.031621	0	0	0	0.003953	0	0	0	0.007905	0.039526	0.003953	0.007905	0.901186
maz-11670	0	0	0	0.012	0	0	0	0.004	0	0	0	0	0.02	0.008	0	0.956
maz-11735	0.005556	0	0	0.055556	0	0	0	0.011111	0	0	0	0	0.061111	0.011111	0	0.855556
maz-11766	0	0	0	0.014881	0	0	0	0.008929	0	0	0	0.005952	0.020833	0.014881	0.005952	0.928571
maz-11916	0	0	0	0.038095	0	0	0	0.014286	0	0	0	0.004762	0.038095	0.019048	0.004762	0.880952
maz-12084	0.005495	0.005495	0	0.032967	0	0	0	0.010989	0	0	0	0	0.032967	0.010989	0	0.901099
maz-12188	0.00463	0	0	0.050926	0.00463	0	0	0.00463	0	0	0	0.00463	0.055556	0.013889	0.00463	0.856481
maz-12383	0	0	0	0.029167	0.004167	0	0	0.0125	0	0	0	0	0.029167	0.016667	0.004167	0.904167
maz-12473	0.004762	0	0	0.033333	0	0	0	0.014286	0	0	0	0	0.038095	0.019048	0	0.890476
maz-12510	0	0	0	0.021164	0	0	0	0.007937	0	0	0	0.007937	0.02381	0.007937	0.007937	0.92328
maz-12576	0	0	0.004386	0.026316	0	0	0	0.017544	0	0	0	0.008772	0.035088	0.017544	0.004386	0.885965
maz-12666	0.004167	0.004167	0	0.0375	0	0	0	0.016667	0	0	0	0	0.041667	0.0125	0.004167	0.879167
maz-12976	0	0	0	0.035714	0	0	0	0.041667	0.005952	0	0	0	0.029762	0.047619	0.005952	0.833333
maz-13015	0.013333	0	0	0.053333	0.006667	0	0	0.026667	0	0	0	0.006667	0.06	0.04	0.006667	0.786667
maz-13125	0.006993	0	0	0.024476	0	0	0	0.006993	0	0	0	0.01049	0.024476	0.01049	0.01049	0.905594
maz-13153	0.006667	0	0	0.033333	0	0	0	0.006667	0	0	0	0.013333	0.04	0.006667	0.013333	0.88
maz-13311	0	0.009615	0	0.057692	0	0	0	0.028846	0	0	0	0	0.086538	0.019231	0	0.798077
maz-13507	0.003205	0	0	0.016026	0	0	0	0.009615	0	0	0	0	0.019231	0.009615	0	0.942308
maz-13758	0	0	0	0.043478	0	0	0	0.021739	0	0	0	0.005435	0.043478	0.021739	0.005435	0.858696
maz-13915	0.006667	0	0	0.033333	0	0	0	0.013333	0	0	0	0	0.04	0.026667	0	0.88
maz-13946	0.005952	0	0	0.02381	0	0	0	0.005952	0	0	0	0	0.02381	0.005952	0	0.934524
maz-14047	0.005556	0	0	0.033333	0	0.005556	0	0.011111	0	0	0	0.005556	0.038889	0.033333	0.005556	0.861111
maz-14055	0	0	0.009615	0.033654	0.004808	0	0	0.014423	0.009615	0	0	0.014423	0.033654	0.024038	0.014423	0.841346
maz-14071	0	0	0	0.037037	0	0	0	0.00463	0	0	0	0	0.041667	0.00463	0	0.912037
maz-14072	0	0	0	0.022222	0	0	0	0.008889	0	0	0	0	0.022222	0.008889	0.004444	0.933333
maz-14172	0	0	0	0.022727	0	0	0	0.011364	0	0	0	0.015152	0.030303	0.011364	0.018939	0.890152
maz-1423	0	0	0	0.06044	0.005495	0	0	0	0.005495	0	0	0.010989	0.049451	0.010989	0.016484	0.840659
maz-14384	0.003968	0	0	0.035714	0	0	0	0	0	0	0	0	0.039683	0.007937	0	0.912698
maz-14399	0	0	0	0.048077	0	0	0	0.009615	0.009615	0	0	0.028846	0.057692	0.009615	0.038462	0.798077
maz-14422	0	0.007519	0	0.030075	0	0	0	0.022556	0	0	0	0.007519	0.045113	0.030075	0.007519	0.849624
maz-1453	0.011364	0.003788	0.003788	0.015152	0	0	0	0.007576	0	0	0	0.003788	0.026515	0.007576	0	0.920455
maz-14590	0	0	0	0.049383	0.006173	0	0	0	0	0	0	0	0.049383	0.006173	0	0.888889
maz-14654	0	0	0.006667	0.04	0	0	0	0.013333	0	0	0	0.006667	0.06	0.02	0	0.853333
maz-14792	0	0	0.00625	0.03125	0.00625	0	0	0.0125	0	0	0	0.01875	0.0375	0.025	0.0125	0.85
maz-14813	0	0	0	0.05	0	0	0	0.01875	0	0	0	0.00625	0.05625	0.025	0.00625	0.8375
maz-14841	0	0	0	0.019231	0	0	0	0.009615	0	0	0	0	0.028846	0.012821	0	0.929487
maz-14853	0.006944	0	0.006944	0.027778	0	0	0	0.006944	0	0	0	0.006944	0.048611	0.006944	0	0.888889
maz-14881	0	0	0	0.032407	0	0	0	0.018519	0	0	0	0	0.041667	0.023148	0	0.884259
maz-15155	0	0	0	0.034783	0	0	0	0.005797	0	0	0	0	0.034783	0.005797	0	0.918841
maz-15209	0.003676	0.003676	0	0.025735	0	0	0	0.011029	0	0	0	0.003676	0.029412	0.011029	0.003676	0.908088
maz-15347	0.006154	0	0	0.018462	0	0	0	0.009231	0	0	0	0.003077	0.024615	0.009231	0.003077	0.926154
maz-15545	0	0	0	0.033333	0	0	0	0.008333	0	0	0	0.004167	0.029167	0.008333	0.004167	0.9125
maz-15609	0.004545	0	0	0.027273	0	0	0	0.018182	0	0	0	0.013636	0.031818	0.022727	0.013636	0.868182
maz-15702	0.016667	0	0	0.05	0	0	0	0.011111	0	0	0	0	0.061111	0.011111	0	0.85
maz-15734	0.003106	0	0	0.015528	0	0	0	0.003106	0	0	0	0	0.015528	0.003106	0	0.959627
maz-15970	0.011111	0	0	0.022222	0	0	0	0.022222	0	0	0	0.011111	0.022222	0.022222	0.011111	0.877778
maz-16153	0.00625	0	0	0.0625	0	0	0	0.00625	0	0	0	0	0.0875	0.00625	0	0.83125
maz-16177	0.004132	0	0	0.049587	0	0	0	0	0	0	0	0	0.049587	0.004132	0	0.892562
maz-16250	0.107143	0.035714	0	0.107143	0.035714	0	0	0	0	0	0	0	0.107143	0.035714	0	0.571429
maz-16294	0.00625	0	0	0.01875	0	0	0	0.009375	0	0	0	0.003125	0.028125	0.009375	0.003125	0.921875
maz-16353	0.0125	0	0	0.029167	0	0	0	0.004167	0	0	0	0.004167	0.033333	0.004167	0.004167	0.908333
maz-16360	0	0	0	0.034188	0	0	0	0.008547	0	0	0	0.004274	0.034188	0.008547	0.004274	0.905983
maz-16590	0	0	0	0.026455	0	0	0	0.005291	0	0	0	0.005291	0.037037	0.005291	0.005291	0.915344
maz-1679	0	0	0	0.032086	0	0	0	0.010695	0	0	0	0	0.037433	0.016043	0	0.903743
maz-16987	0.010101	0	0	0.040404	0.005051	0	0	0.010101	0	0	0	0	0.045455	0.015152	0	0.873737
maz-17062	0	0	0	0.028807	0	0	0	0.00823	0	0	0	0.004115	0.028807	0.00823	0.004115	0.917695
maz-17091	0.004274	0	0	0.034188	0	0	0	0	0	0	0	0	0.038462	0	0	0.923077
maz-17242	0.01	0	0	0.035	0	0	0	0.015	0	0	0	0	0.04	0.015	0	0.885
maz-17254	0.003831	0.003831	0	0.022989	0	0	0	0.011494	0	0	0	0.003831	0.02682	0.011494	0.003831	0.911877
maz-17300	0.004444	0.004444	0	0.026667	0	0	0	0.017778	0	0	0	0.004444	0.035556	0.017778	0.004444	0.884444
maz-17539	0.007519	0	0	0.015038	0	0	0	0	0	0	0	0.015038	0.022556	0.007519	0.022556	0.909774
maz-1757	0	0	0	0.026087	0	0	0	0.004348	0	0	0	0.008696	0.034783	0.004348	0.008696	0.913043
maz-17664	0	0	0	0.022727	0	0	0	0.018939	0	0	0	0	0.026515	0.026515	0	0.905303
maz-17673	0.003472	0	0	0.038194	0	0	0	0.017361	0	0	0	0.003472	0.034722	0.017361	0.003472	0.881944
maz-17698	0	0	0	0.039474	0.006579	0	0	0	0	0	0	0	0.046053	0.006579	0	0.901316
maz-17706	0.004525	0	0.002262	0.020362	0	0	0	0.006787	0	0.002262	0	0.002262	0.024887	0.00905	0	0.927602
maz-17953	0.010101	0	0.005051	0.020202	0	0	0	0.020202	0.005051	0	0	0	0.025253	0.015152	0	0.89899
maz-18006	0.025641	0	0.017094	0.025641	0	0	0	0.042735	0.008547	0	0	0.008547	0.034188	0.042735	0.008547	0.786325
maz-18160	0.010526	0	0	0.042105	0	0	0	0.010526	0	0	0	0	0.063158	0.010526	0.010526	0.852632
maz-18171	0.005882	0	0	0.023529	0	0	0	0.029412	0	0	0	0.005882	0.029412	0.029412	0.005882	0.870588
maz-1818	0.011111	0	0	0.055556	0	0	0	0.011111	0	0	0	0	0.066667	0.011111	0	0.844444
