File	Relation ID	PDTB3 sense	Type	Connective	External argument	Internal argument	Full text
maz-10110.xml	6	Comparison.Concession.Arg2-as-denier	explicit	Trotzdem	Wie schwierig es ist , in dieser Region einen Ausbildungsplatz zu finden , haben wir an dieser und anderer Stelle oft und ausführlich bewertet .	bemühen sich Unternehmen sowie die Industrie- und Handelskammer Potsdam den Schulabgängern Wege in die Ausbildung aufzuzeigen .	Wie schwierig es ist , in dieser Region einen Ausbildungsplatz zu finden , haben wir an dieser und anderer Stelle oft und ausführlich bewertet . Trotzdem bemühen sich Unternehmen sowie die Industrie- und Handelskammer Potsdam den Schulabgängern Wege in die Ausbildung aufzuzeigen .
maz-10110.xml	14	Comparison.Concession.Arg2-as-denier	explicit	aber	"Die Vertreter der "" Null-Bock-Generation "" mag es wohl geben ,"	viele - wohl die meisten - wollen es mit einer Lehre versuchen und sind guten Willens sich bei der Suche nach einem Ausbildungsplatz entsprechend anzustrengen .	"Die Vertreter der "" Null-Bock-Generation "" mag es wohl geben , viele - wohl die meisten - wollen es aber mit einer Lehre versuchen und sind guten Willens sich bei der Suche nach einem Ausbildungsplatz entsprechend anzustrengen ."
maz-10110.xml	15	Expansion.Conjunction	explicit	und	wollen es aber mit einer Lehre versuchen	sind guten Willens sich bei der Suche nach einem Ausbildungsplatz entsprechend anzustrengen .	wollen es aber mit einer Lehre versuchen und sind guten Willens sich bei der Suche nach einem Ausbildungsplatz entsprechend anzustrengen .
maz-10110.xml	17	Expansion.Manner.Arg2-as-manner	explicit	indem	Das sollte honoriert werden	möglichst viele Betriebe - trotz aller wirtschaftlichen Probleme , die in den nächsten zwei Jahren vor der Türe stehen - intensiv ausbilden .	Das sollte honoriert werden indem möglichst viele Betriebe - trotz aller wirtschaftlichen Probleme , die in den nächsten zwei Jahren vor der Türe stehen - intensiv ausbilden .
maz-10110.xml	18	Comparison.Concession.Arg1-as-denier	explicit	trotz	Das sollte honoriert werden indem möglichst viele Betriebe -	aller wirtschaftlichen Probleme , die in den nächsten zwei Jahren vor der Türe stehen - intensiv ausbilden .	Das sollte honoriert werden indem möglichst viele Betriebe - trotz aller wirtschaftlichen Probleme , die in den nächsten zwei Jahren vor der Türe stehen - intensiv ausbilden .
maz-10110.xml	19	Contingency.Purpose.Arg2-as-goal	explicit	um	Längst ist der Zeitpunkt absehbar , zu dem um Lücken in Unternehmen zu füllen .	gute Facharbeiter ins Land geholt werden müssen ,	Längst ist der Zeitpunkt absehbar , zu dem gute Facharbeiter ins Land geholt werden müssen , um Lücken in Unternehmen zu füllen .
maz-10110.xml	20	Contingency.Condition.Arg2-as-cond	explicit	wenn	Das wäre überflüssig ,	deutsche Fachkräfte jetzt ausgebildet werden .	Das wäre überflüssig , wenn deutsche Fachkräfte jetzt ausgebildet werden .
maz-10110.xml	21	Expansion.Conjunction	implicit		Trotzdem bemühen sich Unternehmen sowie die Industrie- und Handelskammer Potsdam den Schulabgängern Wege in die Ausbildung aufzuzeigen .	"Der "" Berufemarkt "" - erstmals in der Aula der Gesamtschule "" Am Weinberg "" angeboten - war ein guter und sinnvoller Beitrag ."	"Trotzdem bemühen sich Unternehmen sowie die Industrie- und Handelskammer Potsdam den Schulabgängern Wege in die Ausbildung aufzuzeigen . Der "" Berufemarkt "" - erstmals in der Aula der Gesamtschule "" Am Weinberg "" angeboten - war ein guter und sinnvoller Beitrag ."
maz-10110.xml	22	Contingency.Cause.Result	implicit		"Der "" Berufemarkt "" - erstmals in der Aula der Gesamtschule "" Am Weinberg "" angeboten - war ein guter und sinnvoller Beitrag ."	Das hat allein das Interesse der Schülerinnen und Schüler bewiesen .	"Der "" Berufemarkt "" - erstmals in der Aula der Gesamtschule "" Am Weinberg "" angeboten - war ein guter und sinnvoller Beitrag . Das hat allein das Interesse der Schülerinnen und Schüler bewiesen ."
maz-10110.xml	23	Expansion.Level-of-detail.Arg2-as-detail	implicit		"Noch etwas hat der "" Berufemarkt "" ans Licht gebracht ."	"Die Vertreter der "" Null-Bock-Generation "" mag es wohl geben , viele - wohl die meisten - wollen es aber mit einer Lehre versuchen und sind guten Willens sich bei der Suche nach einem Ausbildungsplatz entsprechend anzustrengen ."	"Noch etwas hat der "" Berufemarkt "" ans Licht gebracht . Die Vertreter der "" Null-Bock-Generation "" mag es wohl geben , viele - wohl die meisten - wollen es aber mit einer Lehre versuchen und sind guten Willens sich bei der Suche nach einem Ausbildungsplatz entsprechend anzustrengen ."
maz-10110.xml	24	Contingency.Cause.Reason	implicit		Das sollte honoriert werden indem möglichst viele Betriebe - trotz aller wirtschaftlichen Probleme , die in den nächsten zwei Jahren vor der Türe stehen - intensiv ausbilden .	Längst ist der Zeitpunkt absehbar , zu dem gute Facharbeiter ins Land geholt werden müssen , um Lücken in Unternehmen zu füllen .	Das sollte honoriert werden indem möglichst viele Betriebe - trotz aller wirtschaftlichen Probleme , die in den nächsten zwei Jahren vor der Türe stehen - intensiv ausbilden . Längst ist der Zeitpunkt absehbar , zu dem gute Facharbeiter ins Land geholt werden müssen , um Lücken in Unternehmen zu füllen .
maz-10110.xml	25	Expansion.Conjunction	implicit		Längst ist der Zeitpunkt absehbar , zu dem gute Facharbeiter ins Land geholt werden müssen , um Lücken in Unternehmen zu füllen .	Das wäre überflüssig , wenn deutsche Fachkräfte jetzt ausgebildet werden .	Längst ist der Zeitpunkt absehbar , zu dem gute Facharbeiter ins Land geholt werden müssen , um Lücken in Unternehmen zu füllen . Das wäre überflüssig , wenn deutsche Fachkräfte jetzt ausgebildet werden .
maz-3110.xml	4	Expansion.Conjunction	explicit	und	30 Jahre zählt das Neubauwohngebiet ,	etwa jeder dritte Kiewitter ist von Anfang an dabei	30 Jahre zählt das Neubauwohngebiet , und etwa jeder dritte Kiewitter ist von Anfang an dabei
maz-3110.xml	7	Expansion.Substitution.Arg2-as-subst	explicit	Vielmehr	nicht nur die Unlust , die oft kleinen Räume im Alter noch gegen größere zu tauschen .	gibt es hier Wohnungen am Wasser , die man auch nach Sanierung heute noch bezahlen kann	nicht nur die Unlust , die oft kleinen Räume im Alter noch gegen größere zu tauschen . Vielmehr gibt es hier Wohnungen am Wasser , die man auch nach Sanierung heute noch bezahlen kann
maz-3110.xml	9	Contingency.Cause.Result	explicit	daher	Vielmehr gibt es hier Wohnungen am Wasser , die man auch nach Sanierung heute noch bezahlen kann	Für die treuen Kiezbewohner sind Überlegungen schwer nachvollziehbar , die Hochhäuser abzustocken oder gar ganz zu schleifen	Vielmehr gibt es hier Wohnungen am Wasser , die man auch nach Sanierung heute noch bezahlen kann Für die treuen Kiezbewohner sind daher Überlegungen schwer nachvollziehbar , die Hochhäuser abzustocken oder gar ganz zu schleifen
maz-3110.xml	10	Expansion.Disjunction	explicit	oder	die Hochhäuser abzustocken	gar ganz zu schleifen	die Hochhäuser abzustocken oder gar ganz zu schleifen
maz-3110.xml	12	Comparison.Concession.Arg2-as-denier	explicit	doch	Nur in der Berliner Vorstadt wohnen vergleichbar viele Leute so nah an der Havel ,	seien es die hohen Auflagen von Denkmalpflegern , sei es der Drang nach Maximalgewinn bei den neuen Eigentümern : Wegen hoher Mieten weichen große Teile der Stammbevölkerung den besser Verdienenden .	Nur in der Berliner Vorstadt wohnen vergleichbar viele Leute so nah an der Havel , doch seien es die hohen Auflagen von Denkmalpflegern , sei es der Drang nach Maximalgewinn bei den neuen Eigentümern : Wegen hoher Mieten weichen große Teile der Stammbevölkerung den besser Verdienenden .
maz-3110.xml	13	Contingency.Cause.Reason	explicit	Wegen	weichen große Teile der Stammbevölkerung den besser Verdienenden .	hoher Mieten	Wegen hoher Mieten weichen große Teile der Stammbevölkerung den besser Verdienenden .
maz-3110.xml	14	Comparison.Contrast	explicit	dagegen	Wegen hoher Mieten weichen große Teile der Stammbevölkerung den besser Verdienenden .	Am Kiewitt pflegt man Bodenständigkeit	Wegen hoher Mieten weichen große Teile der Stammbevölkerung den besser Verdienenden . Am Kiewitt dagegen pflegt man Bodenständigkeit
maz-3110.xml	15	Expansion.Conjunction	explicit	und	Die Platte hat sich inwendig erneuert	äußerlich Farbe aufgelegt	Die Platte hat sich inwendig erneuert und äußerlich Farbe aufgelegt
maz-3110.xml	16	Contingency.Cause.Reason	implicit		"Dass die "" Platte "" nicht so schlecht ist wie ihr Ruf , hat ja schon das Zentrum Ost bewiesen ."	Gerade eben feierten dort Anwohner die Wiederherstellung ihres - noch immer namenlosen - Stadtplatzes , schon trifft man sich auch am Kiewitt zum Bürgerfest .	"Dass die "" Platte "" nicht so schlecht ist wie ihr Ruf , hat ja schon das Zentrum Ost bewiesen . Gerade eben feierten dort Anwohner die Wiederherstellung ihres - noch immer namenlosen - Stadtplatzes , schon trifft man sich auch am Kiewitt zum Bürgerfest ."
maz-3110.xml	17	Contingency.Cause.Reason	implicit		Gerade eben feierten dort Anwohner die Wiederherstellung ihres - noch immer namenlosen - Stadtplatzes , schon trifft man sich auch am Kiewitt zum Bürgerfest .	30 Jahre zählt das Neubauwohngebiet , und etwa jeder dritte Kiewitter ist von Anfang an dabei .	Gerade eben feierten dort Anwohner die Wiederherstellung ihres - noch immer namenlosen - Stadtplatzes , schon trifft man sich auch am Kiewitt zum Bürgerfest . 30 Jahre zählt das Neubauwohngebiet , und etwa jeder dritte Kiewitter ist von Anfang an dabei .
